,franchise_id,season,weighted_efficiency
580,MIA,2003,22.07858631
581,MIA,2004,20.8752474
582,MIA,2005,23.05686198
583,MIA,2006,23.131875
584,MIA,2007,24.17473958
585,MIA,2008,26.08910038
586,MIA,2009,22.92892361
587,MIA,2010,22.97454167
588,MIA,2011,23.91914216
589,MIA,2012,23.04123611
590,MIA,2013,22.38825521
591,MIA,2014,24.44410156
592,MIA,2015,23.86099206
593,MIA,2016,25.63808594
594,MIA,2017,25.43630556
595,MIA,2018,23.199375
596,MIA,2019,24.19473958
597,MIA,2020,24.69607456
598,MIL,1977,21.25503676
599,MIL,1978,21.28802083
600,MIL,1979,23.16272436
601,MIL,1980,26.22166667
602,MIL,1981,26.66026515
603,MIL,1982,22.10770833
604,MIL,1983,23.27873698
605,MIL,1984,23.45459722
606,MIL,1985,23.34172222
607,MIL,1986,23.37666667
608,MIL,1987,18.89883929
609,MIL,1988,20.16815789
610,MIL,1989,24.6635119
611,MIL,1990,21.5153588
612,MIL,1991,24.7609375
613,MIL,1992,22.79883013
614,MIL,1993,21.30685049
615,MIL,1994,20.40714844
616,MIL,1995,25.7346875
617,MIL,1996,22.01046875
618,MIL,1997,22.43611607
619,MIL,1998,23.05630556
620,MIL,1999,24.17561198
621,MIL,2000,23.24177778
622,MIL,2001,22.81822222
623,MIL,2002,25.8186859
624,MIL,2003,28.33489583
625,MIL,2004,23.80372396
626,MIL,2005,21.90993056
627,MIL,2006,26.206875
628,MIL,2007,23.86522135
629,MIL,2008,24.63633929
630,MIL,2009,22.49827206
631,MIL,2010,20.96900463
632,MIL,2011,23.08276042
633,MIL,2012,22.75506127
634,MIL,2013,20.32399306
635,MIL,2014,24.66925926
636,MIL,2015,22.35385417
637,MIL,2016,22.07633578
638,MIL,2017,23.91152344
639,MIL,2018,21.31357955
640,MIL,2019,20.73529356
641,MIL,2020,22.1701348
642,MIN,1990,21.14047619
643,MIN,1991,23.36585069
644,MIN,1992,21.25329427
645,MIN,1993,22.79909226
646,MIN,1994,21.19994792
647,MIN,1995,23.06729167
648,MIN,1996,24.68115885
649,MIN,1997,25.61710069
650,MIN,1998,24.22152778
651,MIN,1999,21.23906863
652,MIN,2000,24.00767361
653,MIN,2001,23.24157051
654,MIN,2002,21.70225
655,MIN,2003,22.72825893
656,MIN,2004,22.71569444
657,MIN,2005,24.09607143
658,MIN,2006,25.06796569
659,MIN,2007,22.65190476
660,MIN,2008,23.30450521
661,MIN,2009,22.79298177
662,MIN,2010,20.13684896
663,MIN,2011,21.97071078
664,MIN,2012,24.40994444
665,MIN,2013,21.82960526
666,MIN,2014,21.97489583
667,MIN,2015,25.03074811
668,MIN,2016,22.07063802
669,MIN,2017,23.85002778
670,MIN,2018,25.51485577
671,MIN,2019,24.41792708
672,MIN,2020,25.62470644
673,NJN,1977,22.58105324
674,NJN,1978,23.9974537
675,NJN,1979,24.4305506
676,NJN,1980,24.72049479
677,NJN,1981,25.33956845
678,NJN,1982,22.09231771
679,NJN,1983,23.0918099
680,NJN,1984,25.2434375
681,NJN,1985,23.50310049
682,NJN,1986,22.94654167
683,NJN,1987,22.86397059
684,NJN,1988,22.77473958
685,NJN,1989,22.86482143
686,NJN,1990,20.2781713
687,NJN,1991,22.49970052
688,NJN,1992,23.12157051
689,NJN,1993,20.04710784
690,NJN,1994,21.63569444
691,NJN,1995,24.95876488
692,NJN,1996,21.37055556
693,NJN,1997,23.14724206
694,NJN,1998,21.81489583
695,NJN,1999,20.67555871
696,NJN,2000,22.98613095
697,NJN,2001,21.3670943
698,NJN,2002,20.05829167
699,NJN,2003,23.45751603
700,NJN,2004,21.27933333
701,NJN,2005,22.44745833
702,NJN,2006,20.96505208
703,NJN,2007,26.03141026
704,NJN,2008,21.45479167
705,NJN,2009,24.4655506
706,NJN,2010,22.75631127
707,NJN,2011,21.04217262
708,NJN,2012,22.51121032
709,NJN,2013,20.779125
710,NJN,2014,22.68536184
711,NJN,2015,20.5746412
712,NJN,2016,23.54363971
713,NJN,2017,21.17058532
714,NJN,2018,21.91073413
715,NJN,2019,22.76474537
716,NJN,2020,21.92982456
717,NOH,1989,21.41971354
718,NOH,1990,20.6419375
719,NOH,1991,21.82741422
720,NOH,1992,23.18908333
721,NOH,1993,22.25191667
722,NOH,1994,22.1001864
723,NOH,1995,24.09615278
724,NOH,1996,23.23626096
725,NOH,1997,22.97411765
726,NOH,1998,21.07743873
727,NOH,1999,24.61317708
728,NOH,2000,25.61883013
729,NOH,2001,21.77988889
730,NOH,2002,22.63782738
731,NOH,2003,22.46729167
732,NOH,2004,21.42757813
733,NOH,2005,22.70000947
734,NOH,2006,20.55801535
735,NOH,2007,25.33102778
736,NOH,2008,21.88878906
737,NOH,2009,23.80269444
738,NOH,2010,24.71456944
739,NOH,2011,20.89001157
740,NOH,2012,22.18835227
741,NOH,2013,20.89002451
742,NOH,2014,22.4216875
743,NOH,2015,20.97465625
744,NOH,2016,25.43717708
745,NOH,2017,24.32205929
746,NOH,2018,22.70491228
747,NOH,2019,23.78453125
748,NOH,2020,25.21048177
749,NYK,1977,24.16977865
750,NYK,1978,24.29375
751,NYK,1979,23.64152344
752,NYK,1980,23.61634615
753,NYK,1981,26.03827652
754,NYK,1982,22.22563889
755,NYK,1983,25.07362847
756,NYK,1984,24.48758013
757,NYK,1985,24.74940705
758,NYK,1986,23.07553385
759,NYK,1987,22.86065972
760,NYK,1988,18.15936404
761,NYK,1989,25.33020833
762,NYK,1990,26.59855769
763,NYK,1991,26.21479167
764,NYK,1992,25.2349053
765,NYK,1993,24.98512153
766,NYK,1994,27.30866987
767,NYK,1995,24.20270833
768,NYK,1996,24.42908854
769,NYK,1997,25.77385417
770,NYK,1998,24.5225744
771,NYK,1999,24.41803819
772,NYK,2000,24.44560897
773,NYK,2001,24.25509722
774,NYK,2002,22.95547619
775,NYK,2003,23.31059295
776,NYK,2004,24.68157292
777,NYK,2005,22.30106618
778,NYK,2006,22.84220395
779,NYK,2007,24.51195833
780,NYK,2008,24.70238095
781,NYK,2009,23.75503125
782,NYK,2010,25.02823958
783,NYK,2011,25.35799342
784,NYK,2012,22.74115196
785,NYK,2013,22.92169956
786,NYK,2014,22.72731618
787,NYK,2015,24.43622917
788,NYK,2016,22.26464286
789,NYK,2017,22.31463542
790,NYK,2018,21.66622917
791,NYK,2019,23.05326993
792,NYK,2020,22.56914216
793,OKC,1977,22.12543155
794,OKC,1978,21.46650298
795,OKC,1979,23.06229167
796,OKC,1980,24.88649621
797,OKC,1981,24.16741071
798,OKC,1982,22.5996875
799,OKC,1983,25.30949653
800,OKC,1984,23.92863782
801,OKC,1985,21.84956944
802,OKC,1986,21.57108631
803,OKC,1987,23.18530556
804,OKC,1988,22.69777244
805,OKC,1989,22.41535256
806,OKC,1990,22.47091667
807,OKC,1991,26.32856944
808,OKC,1992,23.48373512
809,OKC,1993,25.26330128
810,OKC,1994,26.61282197
811,OKC,1995,26.5925
812,OKC,1996,25.58560897
813,OKC,1997,23.27272321
814,OKC,1998,25.76296875
815,OKC,1999,22.00292969
816,OKC,2000,20.812625
817,OKC,2001,24.99559295
818,OKC,2002,23.29472656
819,OKC,2003,23.88463235
820,OKC,2004,25.16451923
821,OKC,2005,26.91267361
822,OKC,2006,22.72080044
823,OKC,2007,22.57648611
824,OKC,2008,19.09634868
825,OKC,2009,24.85304398
826,OKC,2010,22.07177696
827,OKC,2011,22.01622685
828,OKC,2012,22.73702778
829,OKC,2013,21.28613281
830,OKC,2014,22.51145833
831,OKC,2015,22.4777877
832,OKC,2016,24.33001488
833,OKC,2017,21.27414474
834,OKC,2018,24.37965774
835,OKC,2019,22.68469444
836,OKC,2020,26.45725962
837,ORL,1990,23.36261905
838,ORL,1991,22.89688988
839,ORL,1992,23.49952206
840,ORL,1993,24.978125
841,ORL,1994,22.3997619
842,ORL,1995,25.58495192
843,ORL,1996,24.99358631
844,ORL,1997,25.11731771
845,ORL,1998,20.21373958
846,ORL,1999,19.13533333
847,ORL,2000,19.1689364
848,ORL,2001,22.1825
849,ORL,2002,21.87704657
850,ORL,2003,23.75606618
851,ORL,2004,19.74128125
852,ORL,2005,21.37263889
853,ORL,2006,23.76259259
854,ORL,2007,24.50258929
855,ORL,2008,22.80643056
856,ORL,2009,23.94980469
857,ORL,2010,26.96352431
858,ORL,2011,26.12416667
859,ORL,2012,21.55677083
860,ORL,2013,23.29333333
861,ORL,2014,22.23851563
862,ORL,2015,23.14908333
863,ORL,2016,22.10708333
864,ORL,2017,21.13421569
865,ORL,2018,22.88962719
866,ORL,2019,23.11425
867,ORL,2020,24.90034722
868,PHI,1977,23.72068452
869,PHI,1978,26.57217803
870,PHI,1979,24.36635417
871,PHI,1980,24.71958333
872,PHI,1981,27.28421875
873,PHI,1982,25.28692308
874,PHI,1983,24.99216346
875,PHI,1984,23.76979167
876,PHI,1985,23.71223214
877,PHI,1986,23.14727865
878,PHI,1987,26.5796875
879,PHI,1988,24.4387037
880,PHI,1989,23.83844444
881,PHI,1990,21.41544444
882,PHI,1991,22.45626225
883,PHI,1992,22.60608631
884,PHI,1993,23.27159226
885,PHI,1994,22.54111979
886,PHI,1995,21.18336623
887,PHI,1996,23.6146441
888,PHI,1997,21.74983073
889,PHI,1998,22.11449405
890,PHI,1999,20.56324405
891,PHI,2000,22.47761111
892,PHI,2001,23.38582108
893,PHI,2002,21.185625
894,PHI,2003,23.90675595
895,PHI,2004,25.20236607
896,PHI,2005,22.3036152
897,PHI,2006,24.05933036
898,PHI,2007,25.36278646
899,PHI,2008,23.27923077
900,PHI,2009,24.06096154
901,PHI,2010,23.45877778
902,PHI,2011,22.8475744
903,PHI,2012,21.14780556
904,PHI,2013,21.83701823
